STATE,AFGHANISTAN,ANGOLA,ARMENIA,AZERBAIJAN,BAHAMAS,BANGLADESH,BELARUS,BHUTAN,BOTSWANA,BURMA,BURUNDI,CAMBODIA,CAMEROON,CENTRAL AFRICAN REPUBLIC,CHAD,CHINA,COLOMBIA,CONGO,CUBA,DEM. REP. CONGO,DJIBOUTI,ECUADOR,EGYPT,EQUATORIAL GUINEA,ERITREA,ETHIOPIA,GABON,GEORGIA,GUINEA,INDIA,INDONESIA,IRAN,IRAQ,IVORY COAST,JAMAICA,JORDAN,KAZAKHSTAN,KENYA,KOREA NORTH,KUWAIT,KYRGYZSTAN,LEBANON,LIBERIA,MALAYSIA,MALI,MOLDOVA,NAMIBIA,NEPAL,NETHERLANDS,NIGERIA,PAKISTAN,PALESTINE,PHILIPPINES,REPUBLIC OF SOUTH SUDAN,RUSSIA,RWANDA,SAUDI ARABIA,SENEGAL,SIERRA LEONE,SOMALIA,SOUTH AFRICA,SRI LANKA (CEYLON),STATELESS CITIZENSHIP,SUDAN,SYRIA,TANZANIA,THAILAND,THE GAMBIA,TOGO,TUNISIA,TURKEY,TURKMENISTAN,UGANDA,UKRAINE,UNITED KINGDOM,UZBEKISTAN,VIETNAM,YEMEN,ZIMBABWE
ALABAMA,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,12,0,0,36,0,1,0,0,1,1,0,0,0,0,0,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,23,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
ARIZONA,37,0,0,0,0,0,0,56,0,437,154,0,1,16,11,0,22,1,52,624,0,1,0,2,77,37,2,0,0,1,5,61,652,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,10,0,0,0,13,0,1,0,613,0,0,0,111,127,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ARKANSAS,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALIFORNIA,215,0,46,0,0,1,29,16,0,321,61,0,1,4,0,2,19,0,8,197,0,0,5,0,61,27,0,1,0,0,1,1852,1715,0,0,2,7,0,5,0,0,0,0,0,0,105,0,3,0,0,10,47,0,7,93,0,0,0,0,294,1,18,0,19,182,0,0,0,0,2,0,0,14,313,0,10,3,1,0
COLORADO,28,0,0,0,0,0,9,175,0,598,32,0,0,14,0,4,3,1,9,196,0,0,0,0,46,26,0,0,0,0,4,8,287,0,0,0,2,0,2,0,0,0,2,0,0,8,0,7,0,0,0,1,0,0,9,11,1,1,0,171,0,1,2,18,5,0,1,0,0,0,0,0,3,44,0,0,0,0,1
CONNECTICUT,9,1,0,0,0,0,0,1,0,37,9,0,0,1,0,0,15,0,0,115,0,1,0,0,28,2,0,0,0,0,0,8,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,127,0,0,0,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELAWARE,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT OF COLUMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FLORIDA,9,0,0,0,1,0,1,4,0,455,16,0,0,20,0,0,165,0,884,193,0,2,0,0,58,31,0,0,0,0,2,38,258,0,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,8,9,0,0,0,0,81,0,3,0,95,99,0,0,0,0,1,0,0,0,28,0,0,2,2,0
