"City","Year_incorporated","Population","Class","County","Area_sq_mile","lat","lon"
"Adairville","1871",852,5,"Logan",1.1,36.6675425,-86.8519417
"Albany","1838",2033,4,"Clinton",2.3,36.6908991,-85.1346776
"Alexandria","1856",8477,4,"Campbell",7,38.9595078,-84.3879946
"Allen","1913",193,6,"Floyd",0.2,37.6100457,-82.7279705
"Allensville","1867",157,6,"Todd",1.1,36.7167081,-87.0661104
"Anchorage","1878",2348,4,"Jefferson",3,38.2667373,-85.5330157
"Arlington","1876",324,6,"Carlisle",0.4,36.7903347,-89.012842
"Ashland","1856",21684,2,"Boyd",10.8,38.4784144,-82.6379387
"Auburn","1878",1340,5,"Logan",1.6,36.8642088,-86.7102735
"Audubon Park","1941",1473,5,"Jefferson",0.3,38.2039592,-85.7252394
"Augusta","1850",1190,4,"Bracken",1.6,38.7717376,-84.0057628
"Bancroft","1970",494,6,"Jefferson",0.2,38.2831257,-85.6116277
"Barbourmeade","1962",1218,5,"Jefferson",0.4,38.2972918,-85.6032943
"Barbourville","1856",3165,4,"Knox",2.7,36.8664765,-83.8888138
"Bardstown","1838",11700,4,"Nelson",10.6,37.8092279,-85.4669025
"Bardwell","1878",723,5,"Carlisle",0.9,36.8706111,-89.0097869
"Barlow","1903",675,6,"Ballard",0.6,37.0517194,-89.0467345
"Beattyville","1872",1307,5,"Lee",2.1,37.5717532,-83.7068597
"Beaver Dam","1873",3409,4,"Ohio",2.6,37.4019918,-86.8758256
"Bedford","1946",599,6,"Trimble",0.3,38.592563,-85.3177344
"Beechwood Village","1950",1324,5,"Jefferson",0.3,38.2547932,-85.63135
"Bellefonte","1951",888,6,"Greenup",0.9,38.4925809,-82.6901625
"Bellemeade","1956",865,6,"Jefferson",0.3,38.2522933,-85.5921829
"Bellevue","1870",5955,4,"Campbell",0.9,39.1064488,-84.478831
"Bellewood","1950",321,6,"Jefferson",0.1,38.2608983,-85.659542
"Benham","1961",500,5,"Harlan",0.2,36.9648148,-82.9484954
"Benton","1845",4349,4,"Marshall",4.2,36.8572781,-88.350315
"Berea","1890",13561,3,"Madison",16.1,37.568694,-84.2963223
"Berry","1867",264,6,"Harrison",0.3,38.5206283,-84.3843829
"Blackey","1915",120,6,"Letcher",0.5,37.1400957,-82.979051
"Blaine","1886",47,6,"Lawrence",0.3,38.0275889,-82.8432177
"Blandville","1845",90,6,"Ballard",0.2,36.9436656,-88.9639521
"Bloomfield","1819",838,5,"Nelson",1.3,37.9103403,-85.316622
"Blue Ridge Manor","1964",767,6,"Jefferson",0.2,38.2431264,-85.5630158
"Bonnieville","1956",255,6,"Hart",0.6,37.3786665,-85.9030233
"Booneville","1847",81,6,"Owsley",0.6,37.4761991,-83.6749145
"Bowling Green","1812",58067,2,"Warren",38.1,36.9685219,-86.4808043
"Bradfordsville","1860",294,6,"Marion",0.3,37.4942356,-85.1488483
"Brandenburg","1872",2643,5,"Meade",3.9,37.9989592,-86.1694143
"Bremen","1869",197,6,"Muhlenberg",0.2,37.3614333,-87.2186078
"Briarwood","1957",435,6,"Jefferson",0.1,38.2781258,-85.5930164
"Brodhead","1880",1211,5,"Rockcastle",1.8,37.4042496,-84.4138259
"Broeck Pointe","1980",272,6,"Jefferson",0.1,38.2956252,-85.5860718
"Bromley","1890",763,5,"Kenton",0.4,39.0820043,-84.5602215
"Brooksville","1839",642,5,"Bracken",0.5,38.6825719,-84.0657632
"Brownsboro Farm","1966",648,6,"Jefferson",0.2,38.3028472,-85.596072
"Brownsboro Village","1954",319,6,"Jefferson",0.1,38.2631263,-85.6657948
"Brownsville","1880",836,5,"Edmonson",2.6,37.1925472,-86.2677545
"Buckhorn","1996",162,6,"Perry",0.4,37.3487019,-83.4762961
"Burgin","1878",965,5,"Mercer",1.3,37.7534112,-84.7666148
"Burkesville","1846",1521,5,"Cumberland",2.6,36.7903399,-85.3705186
"Burnside","1890",611,4,"Pulaski",8.2,36.9889661,-84.5999405
"Butler","1868",612,5,"Pendleton",0.2,38.7864569,-84.3696594
"Cadiz","1822",2558,4,"Trigg",2.9,36.8650496,-87.835295
"Caldwell",NA,NA,NA,NA,NA,37.1501019,-87.8942451
"Calhoun","1852",763,5,"McLean",0.7,37.5389351,-87.2583316
"California","1874",90,6,"Campbell",0.3,38.9186766,-84.2635472
"Calvert City","1951",2566,4,"Marshall",16.7,37.0333896,-88.3500362
"Camargo","1969",1081,5,"Montgomery",2.2,37.9942469,-83.8876978
"Cambridge","1953",175,6,"Jefferson",0.1,38.2217369,-85.616627
